sku,store,saledate,stype,total_quantity,total_amount,total_profit
6416,5104,"2004-12-17 00:00:00",P,1,8.620,-5.87
6416,6102,"2005-03-02 00:00:00",P,1,8.620,-5.87
6421,2109,"2004-12-20 00:00:00",P,1,64.000,38.00
6469,8607,"2005-03-16 00:00:00",P,1,6.000,3.59
6469,8802,"2005-02-03 00:00:00",P,1,5.000,2.59
6504,107,"2005-06-16 00:00:00",P,1,39.990,13.99
6504,7603,"2005-07-11 00:00:00",P,1,14.750,-11.25
6525,5204,"2005-07-27 00:00:00",P,1,5.600,-0.80
6525,7902,"2004-12-27 00:00:00",P,1,16.000,9.60
6619,9806,"2004-10-17 00:00:00",P,1,4.000,2.05
6641,5903,"2004-09-21 00:00:00",P,1,14.000,8.25
6667,5503,"2005-02-17 00:00:00",P,1,7.350,-13.65
6713,8402,"2004-12-16 00:00:00",P,1,695.000,393.00
6770,4503,"2004-11-18 00:00:00",P,1,34.000,20.88
6801,802,"2005-02-17 00:00:00",P,1,12.500,-5.80
6819,4603,"2004-12-27 00:00:00",P,1,6.690,2.69
6839,709,"2004-12-03 00:00:00",P,1,14.990,6.99
6839,4003,"2004-12-15 00:00:00",P,1,9.000,0.75
6839,7404,"2005-03-08 00:00:00",P,1,4.500,-3.50
6839,8409,"2004-10-24 00:00:00",P,1,14.990,6.99
6906,1509,"2005-03-16 00:00:00",P,1,9.990,-48.51
6928,5304,"2005-04-08 00:00:00",P,1,100.500,50.30
6928,9806,"2005-05-16 00:00:00",P,1,100.500,50.30
6931,3802,"2005-02-08 00:00:00",P,1,14.500,2.00
6931,8602,"2005-02-05 00:00:00",P,1,14.500,2.00
7029,8402,"2005-03-03 00:00:00",P,1,44.500,-34.70
7093,2109,"2005-03-01 00:00:00",P,1,44.750,-35.25
7170,4209,"2005-01-07 00:00:00",P,1,45.000,29.50
7170,8002,"2005-03-24 00:00:00",P,1,11.250,-4.25
7242,3103,"2005-01-25 00:00:00",P,1,8.400,1.05
7242,3902,"2005-02-04 00:00:00",P,1,14.990,7.64
7354,1304,"2005-05-24 00:00:00",P,1,24.990,6.78
7354,7907,"2005-07-02 00:00:00",P,1,19.990,1.78
7354,8004,"2005-05-27 00:00:00",P,1,24.990,6.78
7354,8302,"2005-05-12 00:00:00",P,1,32.830,14.71
7354,9209,"2005-06-13 00:00:00",P,1,36.750,18.54
7354,9603,"2005-08-12 00:00:00",P,1,12.250,-5.96
7364,1103,"2005-07-04 00:00:00",P,1,29.990,15.62
7367,1407,"2005-04-24 00:00:00",P,1,114.500,-5.50
7367,2609,"2005-04-26 00:00:00",P,1,80.150,-39.85
7367,4007,"2005-01-28 00:00:00",P,1,153.430,33.43
7367,4607,"2004-12-31 00:00:00",P,1,114.500,-5.50
7367,5503,"2004-12-31 00:00:00",P,1,114.500,-5.50
7367,7103,"2005-06-29 00:00:00",P,1,57.250,-62.75
7367,7202,"2005-04-19 00:00:00",P,1,114.500,-5.50
7367,7502,"2005-05-13 00:00:00",P,1,114.500,-5.50
7367,7907,"2005-01-07 00:00:00",P,1,229.000,109.00
7373,802,"2005-04-28 00:00:00",P,1,10.500,-12.50
7373,1402,"2005-06-07 00:00:00",P,1,30.000,7.00
7373,1702,"2005-01-26 00:00:00",P,1,60.000,37.00
7373,2502,"2005-05-23 00:00:00",P,1,15.000,-8.00
7373,2704,"2005-06-27 00:00:00",P,1,30.000,7.00
7373,2804,"2005-05-13 00:00:00",P,1,30.000,7.00
7373,2904,"2005-07-09 00:00:00",P,1,30.000,7.00
7373,3602,"2005-04-27 00:00:00",P,1,21.000,-2.00
7373,4302,"2005-03-29 00:00:00",P,1,9.000,-14.00
7373,4907,"2005-06-05 00:00:00",P,1,30.000,7.00
7373,7107,"2005-06-10 00:00:00",P,1,24.000,1.00
7373,8609,"2005-04-20 00:00:00",P,1,19.500,-3.50
7376,1203,"2005-05-12 00:00:00",P,1,49.000,30.79
7376,2503,"2005-03-18 00:00:00",P,1,49.000,30.79
7376,6203,"2005-04-05 00:00:00",P,1,49.000,30.79
7376,9804,"2005-04-15 00:00:00",P,1,49.000,30.79
7377,4502,"2005-02-25 00:00:00",P,1,23.400,-7.60
7379,903,"2005-07-06 00:00:00",P,1,16.000,-8.03
7379,2303,"2005-07-09 00:00:00",P,1,16.000,-8.03
7379,5603,"2005-06-30 00:00:00",P,1,16.000,-8.03
7394,102,"2005-04-01 00:00:00",P,1,49.000,29.65
7394,3407,"2005-05-22 00:00:00",P,1,39.990,20.64
7394,8402,"2005-01-07 00:00:00",P,1,49.000,29.65
7402,4109,"2005-03-25 00:00:00",P,1,14.990,4.99
7412,504,"2005-08-18 00:00:00",P,1,14.990,6.46
7412,7904,"2005-07-20 00:00:00",P,1,14.990,6.46
7416,709,"2005-05-01 00:00:00",P,1,32.000,20.40
7416,1509,"2005-06-08 00:00:00",P,1,19.990,8.39
7416,4507,"2005-04-28 00:00:00",P,1,25.000,13.40
7419,6203,"2005-07-29 00:00:00",P,1,20.990,3.49
7432,402,"2004-10-30 00:00:00",P,1,39.190,2.19
7437,1607,"2005-06-10 00:00:00",P,1,55.200,27.70
7437,5103,"2005-08-23 00:00:00",P,1,24.150,-3.35
7449,4804,"2005-08-26 00:00:00",P,1,3.140,-4.86
7467,709,"2004-12-31 00:00:00",P,1,34.500,2.05
7467,2207,"2005-06-23 00:00:00",P,1,19.990,-12.46
7467,4102,"2005-05-15 00:00:00",P,1,34.500,2.05
7487,704,"2005-04-29 00:00:00",P,1,20.000,13.02
7487,1304,"2005-08-26 00:00:00",P,1,7.000,0.02
7487,1602,"2005-03-11 00:00:00",P,1,20.000,13.02
7487,2204,"2005-04-06 00:00:00",P,1,20.000,13.02
7495,4309,"2005-06-21 00:00:00",P,1,3.000,0.65
7495,5204,"2004-12-23 00:00:00",P,1,6.000,3.65
7495,5403,"2005-05-31 00:00:00",P,1,3.000,0.65
7495,9303,"2004-12-29 00:00:00",P,1,5.000,2.65
7495,9303,"2005-01-30 00:00:00",P,1,5.000,2.65
7544,7102,"2005-06-30 00:00:00",P,1,37.500,0.00
7589,3504,"2005-08-26 00:00:00",P,1,15.750,-0.50
