sku,style,color,size,brand,deptdesc
591,"0     81LUA4",FZD,29,"LUCKY BR",cop
602,"4PO   HR9123",BLACK,ALL,KENNETH,bch
603,"92    EJPU80",DLPBL/CLNY,10,"EMMA JAM",bep
604,"      74648",TURQ,"NO SIZE","ERICA LY",1928
629,"49    A18640",BLACK,M,COMPLETE,colehaan
644,"07    635642",OLIVE,XL,"KIDS HEA","ellen t"
647,"94    SM7477",BRPKJEWL,XL,"RALPH LA",dkny
658,"05EK  F05900",119BLEACH,M,"DAX CORP","no fear"
659,"KF    GD5697",LILAC,4,PERISCOP,citizens
662,"EM    A1710S","D GREEN","ONE SZ","MOA MOA",colehaan
674,"230   HAUSER","LION LE",P064,"9 WEST",brioso
679,"U     C16AWK",RED,L,VESI,louisvl
680,"80    J71636",RASBERRY,L,"ALL ACCE",colehaan
682,ICH002NWALDR,"BLACK PAT",075N,"NINE WES",brioso
685,"5138  757603",BAN./RED,1,"JODY CAL",chorus
687,"06    JWRUK4",CRYS,ALL,"LIZ CLAI",1928
694,"032   WONDER","GREY PYTHV",110M,CARESSA,invest
695,"18    JKMU36",LSFTSNDM,14,"JH COLLE",echo
696,"19-41 445442",NAVY,2,"KIDS HEA",cartier
697,"      GA1102",TURQUOISE,S,"SKINNY M",colehaan
699,"      40102",GOLD,ALL,VICTORIA,1928
701,"      R660","POLO WHITE",M,"SARA LEE","r taylor"
704,"FQCF  J84458",BORDEAUX,M,REALITEE,colehaan
710,"00    UNIKA8",BORLUG,060M,"UNISA AM",invest
716,"      80328T",NAVY,"30 MEDIUM","I.C. ISA","no fear"
726,"3     R12J17","476INDIGO RI",36,"URBAN ME","no fear"
729,"Y675  LIBERT","WLD PINK P",075M,"ENZO ANG",brioso
730,"48    JKMU36",LSFTSNDM,L,"JH COLLE",echo
736,"      110140",RAIN,XL,NAUTICA,cambio
740,"710N  042051",HEMATITE,ALL,NAPIER/V,1928
743,"01    9742PI","WHITE 4",S,XOXO,chorus
751,"80    J71996",RASBERRY,L,"ALL ACCE",colehaan
752,"I     C53EBO",NAVY,XXL,VESI,louisvl
753,"      DRILL","NAVY SI","7   M","THE UNIT",invest
754,"I     V199BO",NAVY,XL,VESI,louisvl
756,"S     N0015Y",NAVY,M,"MAD ENGI","ellen t"
757,"      NEST","NAVY FB","7.5 M","THE UNIT",invest
764,"03    EJMU82",SWHT/ONYX,XL,"EMMA JAM",carole
766,"45    19RK99","394FOREST/ T",5,WRAPPER/,esprit
771,"      77280","DEEP PRPL",S,SHADOWLI,cambio
774,"      403040",BLUE,S,NAUTICA,cambio
781,"A070  EARUBI","SILV MUL L",085N,"ENZO ANG",brioso
788,"      R242",ROSEWOOD,40D,BALI/HEN,cab
798,"6     Z39412",532LILAC/P,L,"LIZ CLAI",cambio
811,30744LNGKC00,CRIMSON,18,"CWF USA,","r lauren"
812,5000LHJ65PT-,"PAR BLUE",26,AUTHENTI,cop
814,20672LNGKC00,RUBY,18,"CWF USA,","r lauren"
816,337642Z52713,"PURE RED",3/6,"TOMMY HI","r lauren"
837,INE640NWPRAL,"PRVRD/BK L",060M,"9 WEST",brioso
845,"64FF  H05355","140MED INDI",32,"F-50, LL","no fear"
850,AND051ESCASS,"LT GREY SN",110M,"THE UNIT",invest
863,"7     048465",WHITE,S,"POLO FAS",polomen
870,"1T    HT5100",WHITE,4XT,"SEAN JOH",lisli
874,"1     3490H2",RUST,3X,AGB,be2
879,"1B    RL4AF2",BLACK,XL,"GIANT ME",cartier
888,"7     895315","421MEM BLU",18,"BETSEY J","ellen t"
899,"1     AR-555",TRITON,S,"NEVADA A","matty m"
904,340172314412,BLUE,L,"JERELL /",bep
915,"97L1  Z26452",BROWN,14,CONNECTE,lacoste
926,"IT100 NWSPIR","BUTTERMI L",P064,"9 WEST",brioso
930,BE-AAWA7179-,WHITE,4,LOLLYTOG,cartier
933,"77FF  F05901","055HTR GREY",XXXL,"F-50, LL","no fear"
942,"16    F35QM3",001BLACK,ALL,MURANO,"r & y"
945,"      10254D",CHESTNUT,3T,MULBERRI,cartier
948,"      150005",BLACK,S,DANA-CO.,cabern
950,"2     943NA2","BRONZE LEA",055M,"BROWN SH",invest
954,"33523 409965",BLACK,10,"E.C.I. /","karen k"
964,"EN200 NWAMSD","BROWN LE",P838,"NINE WES",brioso
966,"NX    GD5971",GRAPE,3,PERISCOP,citizens
968,"      AY562",SAGE,8,"KORET OF",echo
974,"55B   F55WR9","FOREST GREEN",3X,ROUNDTRE,lisli
986,"9     H31673",RED,ALL,HASKELL,1928
988,"7     H31584",JET,ALL,HASKELL,1928
993,"7     718NL5","GOLD FABRI",080M,"BROWN SH",invest
996,"5     012NL5","RED HEAVEN",065M,"BROWN SH",invest
1004,"227   115180","MD BLUE 1",3,LEVI,cop
1005,"MAI   I7631B",INDUY,13,TYTE,cop
1006,"OMBO  35852C",BROWN,S,"MOA MOA",colehaan
1018,"19A   4F-L05","PERI MIX",3X,"CM SHAPE",be2
1019,543021380442,TURQ,1X,"JERELL /",be2
1024,"96    V35417",ESPRESSO,2,COMPLETE,"matty m"
1027,"24    385577",ASSORTED,7X,"KIDS HEA",cartier
1039,"      217363",VAMP,ALL,"ECHO DES",p&y
1048,"      740N48",SABLE,090W,"BROWN SH",invest
1050,"9     JA4616",408BLUE,L(7),"GUESS /D",cartier
1052,"      034L09","FOREST GRN",040M,"BROWN SH",invest
1063,"04-1  061005",A/S,ONE,"ENMON AC",environ
1065,57-263455430,"OATMEAL GR",4,TIMBERLA,cartier
1078,"      JH7873","BLACK SUED",010M,"KEDS COR",reebok
1079,"-8444 9656L1",BLACK/BAMB,LARGE,"CUTTER &",louisvl
1082,"2     370159","DRY TESTER","DRY TESTER",DESIGNER,blue
1087,"1     5411M2",BLACK,M,AGB,bep
1092,"J5    212T0K",200BROWN,M,QUIKSILV,"ellen t"
1098,"      SG2Z9",KINGFISHER,S,"BOAC LTD","matty m"
1101,900660805005,BR,M,"ROPER AP",environ
1106,"      R157","QO/AQUA AURA",5,CABERNET,cabern
1108,"6A    HK5153","206TAUPE HE",XXL,"SEAN JOH","no fear"
1115,"      106100","BRIDAL WHI",L,"FYC INTE",cambio
1116,"6     HB4103","424HENLEY BL",5,FLAPDOOD,cartier
1117,"D2    AG0550",410NAVY,ALL,"WEMCO,RE","r & y"
1118,"8     113221",LEMONDROP,S,"COPPER K",colehaan
1125,"      93560",SILVER,"NO SIZE","ERICA LY",1928
1129,"5B    FD5010",WINE,14,"TWO DOOR","ellen t"
1133,"682   S3JK4G","100CLSC BL",2,"POLO JEA",cop
1134,"      736BQ","ARTEMISIA N",2,"FRENCH C","matty m"
1135,"1AGK  483211","LT KHAKI","35 30","POLO FAS",polomen
1136,"0BHW  483212","HTHR GREY","36 36","POLO FAS",polomen
1137,"PE77  H462CS",SILSPL,29,"HIPPIE J",cop
1140,"      HIJMAT",1115-KOKOPEL,N/A,"EL PASO",environ
1144,"-664Q KD7088",BROWN/IVOR,L,"LA BELLE",chorus
1149,201154165424,BROWN,50REG,"HART SCH",austin
1158,"7     DFG700",BROWN,S,SELE,esprit
1165,"9BAO  586447","SENTRY RED",36,"POLO FAS",polomen
1169,"      M-9505",OLIVE,M,"UNITED S",cop
1175,"072   PD701C",120CUSTD/BK,18,"LE SUIT",leslie
1184,"03P   NJ4835",SAGE,6,"NAPA VAL",bep
1187,"8VZ   943284","NANT RED",M,"POLO FAS",polomen
1188,"16M   NJ0115","PINK COMBO",XL,"NAPA VAL",echo
1191,0012XHCRX025,GREY,46LONG,"HART SCH",austin
1192,"3     109391",712GOLD,ALL,DESIGNER,"r & y"
1195,"      C-LOKI",OLM,ONE,"TWINS EN",louisvl
1196,"R006  ALASTE",BLKBLK,070N,"UNISA AM",invest
1198,"KB30L I6470O",DIV54,11,TYTE/4WH,cop
1200,"1CVJ  796513","RL BLACK/O",M,"POLO FAS",polomen
1201,"10    111M22","KELLY GREEN",S,BECHAMEL,echo
1205,"      61257",GOLD,ALL,AJI/DBA,1928
1207,"65    YG0424",PALEYEL,ONE,"RALPH LA","r lauren"
1210,"O735  L-SONN","GOLD PYTHN",G18,"FRANCO S",brioso
1211,"92    F55KR9",OATMEALHTHER,XL,ROUNDTRE,"st john"
1222,A-L625VOTAVI,RED,085N,"NINA FOO",brioso
1226,LIN001EACARO,"BLACK CA",P079,"ENZO ANG",brioso
1231,"T381  L-LIGH","GLD MT CRC",055M,"FRANCO S",brioso
1243,JA3LELR202AU,"GREY ATHL",XL,ONFIELD,louisvl
1245,OLO724L-DIAV,"WHT ML PYT",X12,"FRANCO S",brioso
1247,"08    EJMU82",ONYX,XL,"EMMA JAM",carole
1251,"S750  EAELLI","SHN BRZE L",P276,"ENZO ANG",brioso
1267,"16P   NJ5035",ROYAL,12,"NAPA VAL",bep
1280,"SS    206LCH",LICHEN,XXL,"SABAKU I",environ
1286,"US340 BDQUIT","SUB MOSS L",060M,"THE UNIT",invest
1297,"7ACI  793326",NAVY,XL,"POLO FAS",polomen
1302,"6     115K83","STRETCH LIMO",S,ROUNDTRE,"st john"
1305,"76EK  H05900","119BLCH WH",LARGE,ECKO,"no fear"
1311,"E450  NWUDIN","LT BLUE PA",085M,"NINE WES",brioso
1313,"E251  EAJULI","PATP/PA CR",075N,"ENZO ANG",brioso
1325,"05    F55TX4",YELLOW,ALL,"DANIEL C","r & y"
1336,"001   KAPELL","BLACK SQ",060M,"ENZO ANG",brioso
1338,"      430N15","FLAX FABRI",100M,"BROWN SH",invest
1343,"      700N58","CAMEL WOVE",070M,"BROWN SH",invest
1346,"60EK  S04023","605TRUE EC",M,"DAX CORP","no fear"
1350,"260   105120","BLACK M","11 M","LEVI STR",cop
1356,TOC001ESARIS,"BLACK LE",PJ13,"THE UNIT",invest
1358,"      3244",WHITE,ALL,"THE SAK",bch
1366,4FS530CR2451,LAVENDER,010M,KENNETH,reebok
1368,"100   ESVALE","WHITE LE",070N,"THE UNIT",invest
1369,"758   PDTC71",BUTTERCP,XL,"KASPER /",carole
1370,"9JBA  TP162P","665ROMA WA",24,"SEE THRU",cop
1371,"84    SHADE2",BONENAP/EL,C1890,CARESSA,invest
1376,"680   NWSELA","LT PINK LE",P417,"NINE WES",brioso
1381,"221   115180","DK BLUE 1",5,LEVI,cop
1384,"5     155382",CAPPUCCINO,16,"SUSAN BR","karen k"
1389,415044765659,BLACK,43REG,"HART SCH",austin
1390,"      777L92","TAN LEATHE",080M,,invest
1391,403054165423,GREY,43REG,"HART SCH",austin
1394,663044733339,NAVY,36REG,"HART SCH",austin
1396,"      M6229","DARK BROWN",110M,"BORN / H",sperry
1398,125154133345,NAVY,40REG,"HART SCH",austin
1400,"MICH  600163",NAV,M,"M.J. SOF",louisvl
1403,211044765680,BLACK,39LONG,"HART SCH",austin
1411,"RA250 NWBEHI","ICD COFF L",PJ84,"9 WEST",brioso
1416,"      20365",PINK,6X,"OODLES C",carters
1418,"DS    A8M21A","TRDNL STN",10,"SUNSET C",echo
1419,"      8428",WHITE,36DDD,CABERNET,cab
1421,"85397 121201",INDIGO,075M,"L.C. FOO",invest
1422,"      51-589",NAVY,110N,PENOBSCO,invest
1423,"898   031131",BLACK,8,"GSA GROU",gottex
1427,"L220  EAODEL","BRONZE SN",060M,"ENZO ANG",brioso
1431,"R984  JUNIPE",BLKNAPA/EL,090N,"AMASIA I",invest
1432,"1CB   P45132",001BLACK,14,"D K N Y",gottex
1440,"5     I14625","COWBOY GG",1,BUBBLEGU,cop
1441,"      DANB92","MOSS GRN",M,EXPLORE,colehaan
1448,"      75E0",CREAM,070M,"G. H. BA",invest
1456,"      00053Z",NA,NA,"ZIRH INT",4711
1459,"02    F55TM3",BLUE,ALL,"MURANO N","r & y"
1470,"RA110 EASAMO","NATURAL SA",055M,"ENZO ANG",brioso
1481,"90    T000A3",YELLOW,S,"SAN FRAN",cambio
1488,OMA410ESDIPL,"NAVY FB",060M,"THE UNIT",invest
1489,"6     GK-216",BLACK,13,DOLLHOUS,esprit
1491,163036385462,PINK,L,STONEBRI,echo
1498,"E111  GOTSOM",WHITE/BLAC,065M,"NINA FOO",invest
1503,"93    6180M1",650PINK,6,TAHARI/A,leslie
1509,"05    JWRUL1",PUML,ALL,"LIZ CLAI",1928
1510,"OAKCL 8143AA",BLK,2X,ONFIELD,louisvl
1511,"079   PD455B",300LEAF/IVR,16,"KASPER /",leslie
1516,"0     JB4203","413TAP NAVY",ASST,"GUESS /D",cartier
1522,"      676336",PRINT,S,"CINEMA E",cambio
1523,"      655125",WHITE,L,"CINEMA E",cambio
1524,"      714699",ORCHID,5,AUTHENTI,"cop key"
1529,"      133568",PINK,4T,"ICM L.L.",carters
1535,KBLKFANETWOR,"BLACK FAB",P076,"ENZO ANG",brioso
1542,"8     GK-820",ASSORTED,ONE,CAPELLI,carters
1550,"55S   F55TX8",BLACK,ALL,"DANIEL C","r & y"
1558,"S403  EAELLI","ANTHRACI L",080N,"ENZO ANG",brioso
1568,"00    S65KR4","COPPER TAN",XL,ROUNDTRE,"st john"
1569,"4     959NA6","SILVER SHI",1214,"BROWN SH",invest
1571,"-460K K11628",WHITE/GOLD,S,"LA BELLE",esprit
1572,"80    C98421",ORANGE,S,OUTERSTU,"ellen t"
1573,"-21X  KD2547",NUGGET,M,"BYER CAL",chorus
1593,"45T1  0988A3",COPPER,11,"CITY TRI",chorus
1598,0238FFWMNST-,BLACK,L,"J SHADOW",environ
1599,0816FFWMNST-,CANTELOUPE,S,"J SHADOW",environ
1605,"4     BA8767","PASTEL PI",4,"BARBIE /",citizens
1613,"F     71R550","161DK WASH",2,"LEVI STR",cartier
1614,"43    TJRU04",PINK,ALL,"LIZ CLAI",1928
1618,"Y081  LIBERT","CRMYSI M Q",P079,"ENZO ANG",brioso
1632,07XES1000123,ROYAL,SML-SMALL,"NIKE TEA",louisvl
1633,"      82284",AN,ALL,AJI/DBA,1928
1634,BLKMPTLIBRTY,"BLK MULT P",070M,"ENZO ANG",brioso
1639,"      530113",ASPHALT,XL,"AND 1 KI",cartier
1643,"      121361","TRUE NA",14,BERNARD,carole
1651,"22    LA0015",SAND,4T,"RALPH LA","r lauren"
1652,"8RG   482162",BLACK/WHT,"36 34","POLO FAS",polomen
1653,"A     617508",RED,095M,"G. H. BA",invest
1657,"      224331",PINK/BLACK,XL,"VAN MAR",cabern
1658,"92    EJSX37",SUNTAN/AVO,L,"DAVID ME",gottex
1659,06XDB1000140,BLACK,L,"NIKE TEA",louisvl
1665,8MG001DPO428,BLACK,0,GARFIELD,gottex
1670,"      63307",PAVE,ALL,AJI/DBA,1928
1681,223100X71530,"CLASSIC WH",XL,"TOMMY HI",dkny
1683,"      HX5320","WHITE RED",3X,GIRBAUD,"no fear"
1684,"      SM1069",KHAKI,M,"SKINNY M",colehaan
1686,"3     XR-314",999BKG,1X,NECESSAR,esprit
1691,142100X71530,"CLASSIC WH",M,"TOMMY HI",dkny
1692,0PU600CR2498,RED,050M,KENNETH,reebok
1693,"06    E12KC2",100WHITE,2,"ELIE TAH",gottex
1694,"70    S65KR9","SERENE AQUA",L,ROUNDTRE,"st john"
1695,011103J70830,NATURAL,4T,"TOMMY HI","r lauren"
1697,"8FHPP 650056","TEAM ORANG",S,"POLO FAS",polomen
1698,"9     049238","CRUISE ROY",S,"POLO FAS",polomen
1703,"02    S65ZT3",GREY,"38 S",TURNBURY,austin
1704,"2ANJA 797548",FUCHSIA/NA,L,"POLO FAS",polomen
1710,"7     049371","WHITE COMB",M,"POLO FAS",polomen
1711,"4     049173",SCOTTSDALE,M,"POLO FAS",polomen
1712,"9     049441","RESORT ORA",M,"POLO FAS",polomen
1721,"E003  ESLANC","BK LEATH L",100M,"THE UNIT",invest
1725,"E     TRUFFL",CHOCOLATE,P5FA,MURANO,"h sierr"
1728,UMOPALGERANI,"OPAL KI",P408,"ENZO ANG",brioso
1729,"70001 121205",BLACK,100M,"L.C. FOO",invest
