sku,style,color,size,brand,deptdesc
1936,"      R426PK","CARMEL PIN",S,"SARA LEE","r taylor"
1939,"15    MERU33","TAUPE CBO","42   L","LIZ CLAI","liz cla"
1940,"48    MERU33",KHAKI,"42   R","LIZ CLAI","liz cla"
1941,"43    MERU33","ALOE COMBO","XL   ND","LIZ CLAI","liz cla"
1943,"15P   NK5475",WHITE,S,"NAPA VAL",bep
1946,"41    4189L4",BLACK,16,TAHARI/A,lacoste
1954,"      121510",LIME,10,BERNARD,carole
1956,"42W   NK7355","ORANGE CRU",3X,"NAPA VAL",be2
1957,"RFCH  122723",WINE/OTML,S,REALITEE,colehaan
1958,"ILLE  SOMERV","BLACK PAT",075M,"9 WEST",brioso
1959,"73    JKMU38",FNCHALMDMR,"S    ND","JH COLLE",echo
1961,"66M   NK8765",BLUSH,S,"NAPA VAL",echo
1966,"P     362021","URBAN FLOR",S,REPUBLIC,bep
1967,"EE295 L-GOAT",CELDNCMTKD,Z12,"FRANCO S",brioso
1969,"A839  L-GHAN","MORO OPCAL",070M,"FRANCO S",brioso
1978,"N937  L-GLEA","BLK OPACCF",055M,"FRANCO S",brioso
1980,"      BB791",BLACK,L,MELROSE/,bep
1985,"      ZD812",TEAL/WHITE,4,ISABEL+N,leslie
1986,"TRT   65306-","NO COLOR",ALL,"CAROL DA",1928
1987,"      815132",697PNKFL,L,"CAROLE H",cambio
1991,"0     SJ6180",200CAMEL,34,"SEAN JOH","no fear"
1999,"      S1038",NEUTRAL,10,"DOUBLE D",environ
2001,"57    EJPU85",VANILLA,L,"EMMA JAM",bep
2012,"8S    A7J301",MAGENTA,10,"SUNSET C",echo
2014,"7S    A3T490","DREAMY PIN",6,"SUNSET C",echo
2015,"20    5280M7",650PINK,10,TAHARI/A,leslie
2021,"L1    1210PP",TURQ,M,"CITY GIR",bep
2023,"34    MWRU13","LT SURF",XL,"LIZ CLAI","liz cla"
2024,"1AABD 787507","CLSC STONE",34-32,"POLO FAS",polomen
2027,"14    MERU07",BLACK,M,"LIZ CLAI","liz cla"
2030,"      28181E",BLACK,M,"TEEZE ME",chorus
2032,"6CCO  782632","RL BLACK","34 32","POLO FAS",polomen
2034,"1BFN  583456",WHITE,40,"POLO FAS",polomen
2040,"741   371652",GREY,"42 S","HUGO BOS",austin
2047,"      L179-1",BONE/CHOC,095M,"OLD GRIN",environ
2050,"      W7728",BLACK,M,ROCKMOUN,environ
2051,"      38554",GYBK,24,"R & M RI",lacoste
2059,"      M6706",BLACK/RED,L,ROCKMOUN,environ
2060,"17    EJMU85","WHTE DENIM",6,"EMMA JAM",carole
2062,"      6232",03-ZOOM,BLUSH,LANCOME,celebrt
2064,"1AID  483640",BLACK/WHT,"35 32","POLO FAS",polomen
2075,"6     045760","RELAY BLUE",M,"POLO FAS",polomen
2076,"L     216626",BLACK/PLUM,24,"JULIAN T",lacoste
2079,"03    544465",WHITE-HOTPNK,S,PUMA,esprit
2080,"9     750NA6","OX BROWN",060W,NATURALI,invest
2082,"1A    793679","LT BLU/WHT",XL,"POLO FAS",polomen
2085,"3     235NA8","WHITE LEAT",090W,NATURALI,invest
2087,"9AIK  583291","COAST BEIG",34,"POLO FAS",polomen
2088,"7VPP  650174","RIVER BLUE",ONE,"POLO FAS",polomen
2094,"      C-17M",WHITE,M,"NOLAN GL",carters
2097,"74    EJMU09","COOL GREEN",8,"EMMA JAM",carole
2100,"2Y    CJ2UFP",TWI-TN,L,"AVENUE O",colehaan
2104,E43286111102,BLACK,S,ANTIGUA,louisvl
2105,"      18141",BLUE,8,JANTZEN,catalin
2107,"126   3-I252",TEAL,14,POSITIVE,lacoste
2109,"00T   Y55KR0","SAND SWEEP",XLT,ROUNDTRE,lisli
2125,"1     131336",BLK/BLK,13,"BEE DARL",chorus
2131,"51    879117",RED,ALL,"TOMMY HI","r & y"
2132,"      11006",FLAX,L,NECESSAR,esprit
2138,"      11D02",410NAVY,ALL,ROUNDTRE,"r & y"
2145,"      MM28",CHAMPAGNE,ONE,"MARY MED",environ
